node_id,name,food_group,primary_category,is_vegetarian,is_vegan,cuisine_region,nova_level,is_gluten_free,is_crustacean_free,is_egg_free,is_fish_free,is_peanut_free,is_soy_free,is_lactose_free,is_nut_free,is_celery_free,is_mustard_free,is_sesame_free,is_sulfite_free,is_lupin_free,is_mollusc_free
1,abalone,Seafood,Seafood,False,False,East_Asian,1.0,True,True,True,True,True,True,True,True,True,True,True,True,True,False
2,abalone_mushroom,Pantry,Pantry,True,True,universal,,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,absinthe,Beverage,Beverage,True,True,Mediterranean,4.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,acacia,Pantry,Pantry,True,True,universal,,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5,acai,Fruit,Fruit,True,True,Latin_American,1.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6,acerola,Pantry,Pantry,True,True,Latin_American,,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,achiote_paste,Spice,Spice,True,True,Latin_American,3.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8,acorn,Pantry,Pantry,True,True,universal,,True,True,True,True,True,True,True,False,True,True,True,True,True,True
9,acorn_squash,Vegetable,Vegetable,True,True,universal,1.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10,activated_charcoal_powder,Pantry,Pantry,True,True,universal,,True,True,True,True,True,True,True,True,True,True,True,True,True,True
11,adjika,Spice,Spice,True,True,Eastern_European,3.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
12,adobo_sauce,Pantry,Pantry,True,True,Latin_American,3.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
13,adobo_seasoning,Spice,Spice,True,True,Latin_American,2.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
14,advocaat,Beverage,Beverage,True,True,Western_Atlantic,4.0,True,True,False,True,True,True,True,True,True,True,True,True,True,True
15,agar,Pantry,Pantry,True,True,Japanese;East_Asian;Southeast_Asian,,True,True,True,True,True,True,True,True,True,True,True,True,True,True
16,agati_flower,Pantry,Pantry,True,True,South_Asian;Southeast_Asian,,True,True,True,True,True,True,True,True,True,True,True,True,True,True
17,agave_syrup,Pantry,Pantry,True,True,universal,,True,True,True,True,True,True,True,True,True,True,True,True,True,True
18,aguardiente,Beverage,Beverage,True,True,Latin_American,4.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True
19,aji_amarillo,Vegetable,Vegetable,True,True,Latin_American,1.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20,aji_panca,Spice,Spice,True,True,Latin_American,1.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
21,ajvar,Pantry,Pantry,True,True,Eastern_European,3.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
22,ajwain,Spice,Spice,True,True,South_Asian,1.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
23,alcaparrado,Pantry,Pantry,True,True,Latin_American,3.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
24,aleppo_pepper,Spice,Spice,True,True,Mediterranean,1.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25,alfalfa_sprout,Vegetable,Vegetable,True,True,universal,1.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
26,alfredo_sauce,Pantry,Pantry,True,True,Western_Atlantic,4.0,True,True,True,True,True,True,False,True,True,True,True,True,True,True
